id_cp_interaction,partner_receptor,partner_TF,protein_name_receptor,protein_name_TF,receptor_id,TF_symbol,Effect,Source,Curator,Xrefs_or_figures,Brivanlou_class
NA,Q04721,P47928,NA,ID4_HUMAN,NOTCH2,ID4,1,PMID:31390563,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,Q04721,Q06330,NA,SUH_HUMAN,NOTCH2,RBPJ,1,PMID: 22718343; PMID: 12039915; PMID: 16921404,RuxTes,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,Q04721,Q14469,NA,HES1_HUMAN,NOTCH2,HES1,1,Uniprot;NetPath;PMID 10520600,LGarciaAlonso;RuxTes,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,Q9UM47,Q06330,NA,SUH_HUMAN,NOTCH3,RBPJ,1,PMID: 22718343; PMID: 12039915; PMID: 16921405,RuxTes,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,Q9UM47,Q9HCC6,NA,HES4_HUMAN,NOTCH3,HES4,1,PMID:27791012,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,Q99466,Q06330,NA,SUH_HUMAN,NOTCH4,RBPJ,1,PMID: 22718343; PMID: 12039915; PMID: 16921406,RuxTes,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,Q99466,Q9NQ87,NA,HEYL_HUMAN,NOTCH4,HEYL,1,PMID:27791013,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P51843,P51843,NA,NR0B1_HUMAN,NR0B1,NR0B1,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,Q15466,Q15466,NA,NR0B2_HUMAN,NR0B2,NR0B2,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,P20393,P20393,NA,NR1D1_HUMAN,NR1D1,NR1D1,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,Q14995,Q14995,NA,NR1D2_HUMAN,NR1D2,NR1D2,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,P55055,P55055,NA,NR1H2_HUMAN,NR1H2,NR1H2,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,Q13133,Q13133,NA,NR1H3_HUMAN,NR1H3,NR1H3,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
