Entry	Entry Name	Protein names	Gene Names (synonym)	Gene Names (primary)
A0A6Q8PGG0	A0A6Q8PGG0_HUMAN	Alpha-galactosidase (EC 3.2.1.-)	NA	GLA
A0A6Q8PGG1	A0A6Q8PGG1_HUMAN	Kinesin-like protein KIF2A	NA	KIF2A
A0A6Q8PGG5	A0A6Q8PGG5_HUMAN	Calpastatin (Calpain inhibitor)	NA	CAST
A0A6Q8PGH7	A0A6Q8PGH7_HUMAN	Kinesin-like protein	NA	KIF2A
A0A6Q8PGI6	A0A6Q8PGI6_HUMAN	Glycine--tRNA ligase (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase)	NA	GARS1
A0A6Q8PGI8	A0A6Q8PGI8_HUMAN	alanine--tRNA ligase (EC 6.1.1.7)	NA	AARS1
A0A6Q8PGJ3	A0A6Q8PGJ3_HUMAN	Kinesin heavy chain isoform 5A	NA	KIF5A
A0A6Q8PGK1	A0A6Q8PGK1_HUMAN	Heat shock protein beta-1 (Heat shock 27 kDa protein)	NA	HSPB1
A0A6Q8PGM4	A0A6Q8PGM4_HUMAN	UDP-glucuronate decarboxylase (EC 4.1.1.35)	NA	UXS1
A0A6Q8PGN4	A0A6Q8PGN4_HUMAN	Sodium channel protein	NA	SCN11A
A0A6Q8PGN6	A0A6Q8PGN6_HUMAN	Calpastatin (Calpain inhibitor)	NA	CAST
A0A6Q8PGN9	A0A6Q8PGN9_HUMAN	phosphatidylinositol-4,5-bisphosphate 3-kinase (EC 2.7.1.153)	NA	PIK3CA
A0A6Q8PGP5	A0A6Q8PGP5_HUMAN	E3 ubiquitin-protein ligase (EC 2.3.2.26)	NA	NEDD4L
A0A6Q8PGQ3	A0A6Q8PGQ3_HUMAN	Hexosyltransferase (EC 2.4.1.-)	NA	B3GALNT2
A0A6Q8PGR0	A0A6Q8PGR0_HUMAN	Elongator complex protein 1 (IkappaB kinase complex-associated protein)	NA	ELP1
A0A6Q8PGS1	A0A6Q8PGS1_HUMAN	Sodium channel subunit beta-1	NA	SCN1B
A0A6Q8PGS3	A0A6Q8PGS3_HUMAN	Centrosome and spindle pole-associated protein 1	NA	CSPP1
A0A6Q8PGS9	A0A6Q8PGS9_HUMAN	Mitofusin-2	NA	MFN2
A0A6Q8PGT5	A0A6Q8PGT5_HUMAN	Gamma-aminobutyric acid receptor subunit beta-2	NA	GABRB2
A0A6Q8PGT6	A0A6Q8PGT6_HUMAN	DNA-binding protein SMUBP-2	NA	IGHMBP2
A0A6Q8PGU6	A0A6Q8PGU6_HUMAN	vesicle-fusing ATPase (EC 3.6.4.6)	NA	SPATA5
A0A6Q8PGV6	A0A6Q8PGV6_HUMAN	Nuclear distribution protein nudE homolog 1	NA	NDE1
A0A6Q8PGV8	A0A6Q8PGV8_HUMAN	Mitofusin-2	NA	MFN2
A0A6Q8PGW3	A0A6Q8PGW3_HUMAN	Elongator complex protein 1	NA	ELP1
A0A6Q8PGW4	A0A6Q8PGW4_HUMAN	glycine--tRNA ligase (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase)	NA	GARS1
A0A6Q8PH01	A0A6Q8PH01_HUMAN	PR domain zinc finger protein 12 (EC 2.1.1.-) (PR domain-containing protein 12)	NA	PRDM12
A0A6Q8PH04	A0A6Q8PH04_HUMAN	Phosphoinositide phospholipase C (EC 3.1.4.11)	NA	PLCE1
A0A6Q8PH06	A0A6Q8PH06_HUMAN	Tripartite motif-containing protein 2	NA	NA
A0A6Q8PH08	A0A6Q8PH08_HUMAN	KIF-binding protein	NA	KIFBP
A0A6Q8PH17	A0A6Q8PH17_HUMAN	Sodium/potassium-transporting ATPase subunit beta-1-interacting protein (Na(+)/K(+)-transporting ATPase subunit beta-1-interacting protein)	NA	NKAIN3
A0A6Q8PH20	A0A6Q8PH20_HUMAN	Calpastatin (Calpain inhibitor)	NA	CAST
A0A6Q8PH21	A0A6Q8PH21_HUMAN	Solute carrier family 12 member 6	NA	SLC12A6
A0A6Q8PH23	A0A6Q8PH23_HUMAN	Serine/threonine-protein phosphatase 2A activator (EC 5.2.1.8) (Phosphotyrosyl phosphatase activator)	NA	NA
A0A6Q8PH36	A0A6Q8PH36_HUMAN	IkappaB kinase complex-associated protein	NA	ELP1
A0A6Q8PH45	A0A6Q8PH45_HUMAN	KIF-binding protein (KIF1-binding protein)	NA	KIFBP
A0A6Q8PH47	A0A6Q8PH47_HUMAN	XK-related protein	NA	XKR8
A0A6Q8PH48	A0A6Q8PH48_HUMAN	Elongator complex protein 1 (IkappaB kinase complex-associated protein)	NA	ELP1
A0A6Q8PH49	A0A6Q8PH49_HUMAN	Glycine--tRNA ligase	NA	GARS1
A0A6Q8PH57	A0A6Q8PH57_HUMAN	Kinesin-like protein	NA	KIF2A
A0A6Q8PH77	A0A6Q8PH77_HUMAN	RNA binding protein fox-1 homolog 1	NA	RBFOX1
A0A6Q8PH78	A0A6Q8PH78_HUMAN	Centrosomal protein of 290 kDa	NA	CEP290
A0A6Q8PHA0	A0A6Q8PHA0_HUMAN	Elongator complex protein 1 (IkappaB kinase complex-associated protein)	NA	ELP1
A0A6Q8PHA3	A0A6Q8PHA3_HUMAN	RNA binding protein fox-1 homolog 1	NA	RBFOX1
A0A6Q8PHA4	A0A6Q8PHA4_HUMAN	Transcriptional regulator ATRX	NA	ATRX
A0A6Q8PHA5	A0A6Q8PHA5_HUMAN	Histidine--tRNA ligase, cytoplasmic (EC 6.1.1.21) (Histidyl-tRNA synthetase)	NA	HARS1
A0A6Q8PHC0	A0A6Q8PHC0_HUMAN	Apoptosis-inducing factor 1, mitochondrial	NA	AIFM1
A0A6Q8PHC3	A0A6Q8PHC3_HUMAN	Structural maintenance of chromosomes protein 1A	NA	SMC1A
A0A6Q8PHC6	A0A6Q8PHC6_HUMAN	Glycine amidinotransferase (EC 2.1.4.1) (L-arginine:glycine amidinotransferase)	NA	GATM
A0A6Q8PHC9	A0A6Q8PHC9_HUMAN	Elongator complex protein 1	NA	ELP1
A0A6Q8PHD1	A0A6Q8PHD1_HUMAN	Alpha-galactosidase (EC 3.2.1.-)	NA	GLA
